model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_quant,mushroom,2,2,1,0.0,0.7864286813355901,0.8055384615384615,6
lgbm_base,california_housing,8,8,4,0.0,0.6498159225854324,0.6759120198737983,248
lgbm_base,california_housing,4,4,2,0.0,0.9765518778189951,0.9967990262674069,28
lgbm_quant,california_housing,8,8,4,0.0,0.6501155933721181,0.6758698181726164,248
lgbm_quant,california_housing,4,4,2,0.0,0.9764842377474732,0.9966537738642172,28
lgbm_base,mushroom,128,128,2,0.0,0.9992306508693645,0.9981538461538462,892
lgbm_quant,mushroom,128,128,2,0.0,0.9992306508693645,0.9981538461538462,892
lgbm_base,kin8nm,16,16,8,0.0,0.028542351851798643,0.034215320064755333,976
lgbm_base,mushroom,8,8,4,0.0,0.9783043545160794,0.976,204
lgbm_quant,kin8nm,16,16,8,0.0,0.028556353849613223,0.03421730241056829,976
lgbm_quant,mushroom,8,8,4,0.0,0.9783043545160794,0.976,204
lgbm_base,california_housing,16,16,8,0.0,0.3546019198916001,0.3854787523798945,976
lgbm_base,california_housing,64,64,1,0.0,0.5299850717907777,0.5545040162242775,192
lgbm_base,mushroom,16,16,8,0.0,0.9963071241729496,0.9975384615384615,928
lgbm_quant,california_housing,16,16,8,0.0,0.357310412720113,0.386587005771952,976
lgbm_quant,california_housing,64,64,1,0.0,0.5304251950005,0.5548110798156588,192
lgbm_quant,mushroom,16,16,8,0.0,0.9963071241729496,0.9975384615384615,928
lgbm_base,mushroom,256,256,4,0.0,1.0,1.0,5310
lgbm_base,california_housing,128,128,2,0.0,0.29728994765025246,0.3237166449187369,896
lgbm_base,mushroom,512,512,8,0.0,1.0,1.0,8620
lgbm_quant,california_housing,128,128,2,0.0,46.27922008316198,45.28905544309773,896
lgbm_quant,mushroom,256,256,4,0.0,1.0,1.0,5310
lgbm_base,kin8nm,64,64,2,0.0,0.03481347788718687,0.0377849775885218,448
lgbm_quant,kin8nm,64,64,2,0.0,10.169884571156718,10.064936592674243,448
lgbm_quant,mushroom,512,512,8,0.0,1.0,1.0,8620
lgbm_quant,covtype,128,128,4,0.0,0.8043949235062143,0.8003493885700025,3894
lgbm_base,california_housing,512,512,8,0.0,0.0678985902359933,0.19889713280706933,31184
lgbm_quant,california_housing,512,512,8,0.0,71.7162242901603,72.10522914261233,31184
lgbm_base,breastcancer,16,16,4,0.0,0.9912087912087912,0.9298245614035088,248
lgbm_quant,breastcancer,16,16,4,0.0,0.9912087912087912,0.9298245614035088,248
lgbm_base,breastcancer,8,8,2,0.0,0.9758241758241758,0.9473684210526315,56
lgbm_quant,breastcancer,8,8,2,0.0,0.9758241758241758,0.9473684210526315,56
lgbm_base,breastcancer,32,32,8,0.0,0.9956043956043956,0.9473684210526315,982
