no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,200
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,200
125,3,9,1188,964,56333,97888,0,0.0,0.7884353617902448,0.000976562,0.00195312,500
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,500
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,500
115,3,9,1224,886,56692,89952,0,0.531974,0.7840395460289414,0.000976562,0.00195312,1000
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,1000
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,1000
115,3,9,1224,886,56692,89952,0,0.531974,0.7840395460289414,0.000976562,0.00195312,5000
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,5000
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,5000
115,3,9,1224,886,56692,89952,0,0.531974,0.7840395460289414,0.000976562,0.00195312,10000
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,10000
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,10000
115,3,9,1224,886,56692,89952,0,0.531974,0.7840395460289414,0.000976562,0.00195312,100000
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,100000
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,100000
4,3,6,67,40,2658,4080,0,0.0,0.3533154772742178,0.000976562,0.00390625,5
4,5,9,266,157,11162,17184,0,0.875867,0.4145778727431908,0.000976562,0.00390625,5
4,7,9,851,543,39420,60416,0,0.843131,0.4575206443039451,0.000976562,0.00390625,5
9,3,8,126,80,5164,8160,0,0.0,0.5003025352562338,0.000976562,0.00390625,10
9,5,9,495,313,21645,34256,0,0.736168,0.5864322756699174,0.000976562,0.00390625,10
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,10
14,3,8,184,120,7546,12240,0,0.0,0.5745012526614608,0.000976562,0.00390625,15
14,5,9,709,464,31495,50768,0,0.662047,0.6655194864441687,0.000976562,0.00390625,15
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,15
19,3,8,238,160,10025,16320,0,0.0,0.6225075302596457,0.000976562,0.00390625,20
19,5,9,914,606,41675,66272,0,0.616701,0.7097700610265338,0.000976562,0.00390625,20
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,20
29,3,8,339,240,14431,24480,0,0.0,0.6976459114109286,0.000976562,0.00390625,30
29,5,9,1222,841,57574,91792,0,0.561655,0.7592691580739861,0.000976562,0.00390625,30
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,30
39,3,9,442,320,19582,32640,0,0.0,0.7247583208794526,0.000976562,0.00390625,40
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,40
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,40
49,3,9,539,399,24054,40688,0,0.0,0.7438967146948534,0.000976562,0.00390625,50
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,50
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,50
96,3,9,930,738,43519,74896,0,0.0,0.7765927875929695,0.000976562,0.00390625,100
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,100
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,100
95,3,9,1021,728,46850,73856,0,0.541242,0.7764493916127445,0.000976562,0.00390625,200
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,200
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,200
96,3,9,930,738,43519,74896,0,0.0,0.7765927875929695,0.000976562,0.00390625,500
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,500
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,500
95,3,9,1021,728,46850,73856,0,0.541242,0.7764493916127445,0.000976562,0.00390625,1000
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,1000
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,1000
95,3,9,1021,728,46850,73856,0,0.541242,0.7764493916127445,0.000976562,0.00390625,5000
36,5,9,1391,971,67130,105792,0,0.541403,0.7763159861364127,0.000976562,0.00390625,5000
9,7,9,1396,952,68884,105824,0,0.689364,0.6373477528301147,0.000976562,0.00390625,5000
