model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,kin8nm,64,1,1,0.015625,0.06642812649835396,0.06627442479549087,3
cegb,california_housing,128,128,8,0.0,0.1458441013735877,0.20743841390822182,7808
cegb,california_housing,1,1,2,0.0,1.222077451086003,1.202149485952908,7
cegb,wine,64,7,8,0.25,0.4308254762362902,0.4592307692307692,7
cegb,california_housing,512,512,1,0.0,0.34181913887914256,0.36639497174619573,1536
cegb,kin8nm,256,1,1,0.25,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,64,1,8,0.25,0.069549434430087,0.0692052834536657,1
cegb,california_housing,2,2,1,0.015625,1.1892390320402575,1.1777200062635347,6
cegb,covtype_multi,16,112,2,0.0078125,0.6922069064927745,0.6915311997108509,506
cegb,kin8nm,512,512,1,0.0,0.0374963982972635,0.03969287408061353,1536
cegb,california_housing,512,11,4,0.0625,0.6798815210399048,0.6910958941140211,151
cegb,wine,256,91,4,0.015625,0.5406965557052146,0.5307692307692308,323
cegb,california_housing,1024,1024,2,0.0,0.20940841509202238,0.24128089167200048,7168
cegb,wine,256,28,2,0.0625,0.5237637098325957,0.5123076923076924,48
cegb,wine,128,28,1,0.0625,0.4308254762362902,0.4592307692307692,40
cegb,mushroom,1024,2,4,0.25,0.9618402831204801,0.9606153846153846,30
cegb,california_housing,1024,3,4,0.25,1.085575295302852,1.0779457590536705,15
cegb,wine,512,3584,1,0.0,0.5988070040407928,0.5576923076923077,10752
cegb,wine,128,896,8,0.0,0.9711371945353088,0.6538461538461539,50720
cegb,wine,512,28,4,0.0625,0.5237637098325957,0.5123076923076924,48
cegb,wine,512,7,2,0.25,0.4308254762362902,0.4592307692307692,7
cegb,covtype,128,1,1,0.125,0.6661187713663032,0.6648193248022857,3
cegb,mushroom,1,1,2,0.0,0.9116787198030466,0.9076923076923077,7
cegb,wine,1024,7,4,0.25,0.4308254762362902,0.4592307692307692,7
cegb,covtype_multi,64,21,4,0.125,0.48794451054088883,0.48621808387046805,111
cegb,breastcancer,512,19,2,0.0625,0.9648351648351648,0.956140350877193,85
cegb,breastcancer,1,1,8,0.015625,0.6285714285714286,0.6228070175438597,9
cegb,wine,1024,7168,2,0.0,0.823552049259188,0.6030769230769231,45832
cegb,breastcancer,512,29,4,0.015625,0.9868131868131869,0.9649122807017544,285
cegb,covtype,128,8,2,0.03125,0.731750030657754,0.7294992384017625,46
cegb,breastcancer,512,13,8,0.125,0.9516483516483516,0.9473684210526315,45
