model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes
lgbm_base,breastcancer,1,1,1,0.0,0.6259168704156479,0.6521739130434783,0.6228070175438597,3
lgbm_base,breastcancer,32,32,1,0.0,0.9755501222493888,0.9565217391304348,0.956140350877193,96
lgbm_base,breastcancer,8,8,8,0.0,0.9657701711491442,0.9565217391304348,0.956140350877193,226
lgbm_base,breastcancer,64,64,2,0.0,0.9975550122249389,0.9565217391304348,0.956140350877193,448
lgbm_quant,breastcancer,64,64,2,0.0,0.9975550122249389,0.9565217391304348,0.956140350877193,448
lgbm_base,kin8nm,4,4,4,0.0,0.053997180931319694,0.048608495889976844,0.05432900430123089,124
lgbm_quant,kin8nm,4,4,4,0.0,0.054007245090793944,0.048614418274849615,0.05433800777341798,124
lgbm_base,kin8nm,32,32,1,0.0,0.04735649813395859,0.04226971186439865,0.047942267748327806,96
lgbm_quant,kin8nm,32,32,1,0.0,0.04735962362675074,0.04227096099250698,0.0479437094650045,96
lgbm_base,mushroom,2,2,2,0.0,0.9119507608138143,0.9092307692307692,0.9076923076923077,14
lgbm_quant,mushroom,2,2,2,0.0,0.9119507608138143,0.9092307692307692,0.9076923076923077,14
lgbm_base,kin8nm,2,2,2,0.0,0.06292618120866825,0.056196967335288214,0.0621633212237648,14
lgbm_quant,kin8nm,2,2,2,0.0,0.0629391739343762,0.056207426163047004,0.06217103949312012,14
lgbm_base,mushroom,128,128,4,0.0,1.0,1.0,1.0,3368
lgbm_quant,mushroom,128,128,4,0.0,1.0,1.0,1.0,3368
lgbm_base,california_housing,8,8,8,0.0,0.5628332318133222,0.6045030886764758,0.5776598465303935,488
lgbm_quant,california_housing,8,8,8,0.0,0.5643909699662913,0.6044384591411788,0.5789076671545008,488
lgbm_base,mushroom,64,64,2,0.0,0.9923063771584887,0.9876923076923076,0.9932307692307693,446
lgbm_base,mushroom,4,4,4,0.0,0.9758933150965977,0.9753846153846154,0.9710769230769231,96
lgbm_quant,mushroom,64,64,2,0.0,0.9923063771584887,0.9876923076923076,0.9932307692307693,446
lgbm_quant,mushroom,4,4,4,0.0,0.9758933150965977,0.9753846153846154,0.9710769230769231,96
lgbm_base,california_housing,1,1,1,0.0,1.2500417835433575,1.3132480120116572,1.2377162522450627,3
lgbm_base,kin8nm,1,1,1,0.0,0.06710165944010552,0.060158852233353544,0.06626211233535818,3
lgbm_quant,california_housing,1,1,1,0.0,1.2508669908660646,1.3142287605250036,1.2385252478052022,3
lgbm_quant,kin8nm,1,1,1,0.0,0.06711469796050248,0.060167803403538875,0.06627204913665487,3
lgbm_base,mushroom,8,8,8,0.0,0.9933321935373568,0.9923076923076923,0.9901538461538462,458
lgbm_quant,mushroom,8,8,8,0.0,0.9933321935373568,0.9923076923076923,0.9901538461538462,458
lgbm_base,mushroom,32,32,1,0.0,0.9705932638057788,0.9584615384615385,0.9673846153846154,96
lgbm_base,california_housing,2,2,2,0.0,1.122381547619648,1.18091361700452,1.1141406783420014,14
lgbm_quant,california_housing,2,2,2,0.0,1.122080980997593,1.180517128688485,1.1136565839609893,14
lgbm_base,kin8nm,8,8,8,0.0,0.03941589252777325,0.037162082481044904,0.04235416336075808,488
lgbm_quant,kin8nm,8,8,8,0.0,0.03941774196075785,0.03716508539366231,0.04235342202049519,488
lgbm_base,california_housing,64,64,2,0.0,0.35496147591126315,0.38260653445600273,0.3811987728163341,448
lgbm_quant,california_housing,64,64,2,0.0,0.3576974890202688,0.38399203336943144,0.38375683562208274,448
