
47886;3;45;
23477;3;98;
33667;3;79;
41161;3;63;
46318;3;49;
50647;3;36;
24130;3;96;
33838;3;78;
41694;3;61;
46318;3;49;
50647;3;36;
27024;3;93;
35846;3;76;
41916;3;62;
46627;3;48;
50574;3;37;
30541;3;88;
37632;3;73;
42955;3;59;
47028;3;47;
50875;3;36;
35923;3;78;
40702;3;65;
44229;3;56;
48171;3;45;
51232;3;35;
47886;3;45;
63253;3;9;
63253;3;9;
63253;3;9;
47886;3;45;
27224;3;63;
63253;3;9;
63253;3;9;
63253;3;9;
61281;3;6;
52135;5;6;
34404;7;6;
58440;3;11;
41661;5;11;
25083;7;11;
55862;3;16;
33734;5;16;
20687;7;16;
53106;3;21;
29124;5;21;
17213;7;21;
47794;3;31;
22834;5;31;
13423;7;31;
43033;3;41;
22530;5;34;
13329;7;33;
39381;3;51;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
39381;3;52;
22530;5;34;
13329;7;33;
61281;3;6;
52431;5;6;
41828;7;6;
58440;3;11;
44173;5;11;
35553;7;11;
55862;3;16;
39624;5;16;
33350;7;16;
53153;3;21;
36745;5;21;
30961;7;21;
48417;3;31;
33503;5;31;
28766;7;31;
44638;3;41;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
44210;3;44;
33503;5;31;
28675;7;33;
61281;3;6;
53379;5;6;
47943;7;6;
58440;3;11;
48118;5;11;
44169;7;11;
55862;3;16;
45333;5;16;
42327;7;16;
53552;3;21;
43478;5;21;
40745;7;21;
49587;3;31;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
48314;3;37;
41997;5;28;
38899;7;28;
61281;3;6;
55361;5;6;
52794;7;6;
58440;3;11;
52116;5;11;
50698;7;11;
56049;3;16;
50368;5;16;
49153;7;16;
54199;3;21;
49336;5;21;
47706;7;21;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
51737;3;31;
48367;5;27;
47045;7;26;
61281;3;6;
57476;5;6;
56291;7;6;
58528;3;11;
55557;5;11;
54212;7;11;
56868;3;16;
54182;5;16;
53407;7;16;
55705;3;21;
53044;5;21;
52331;7;21;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
54929;3;25;
52955;5;23;
52122;7;24;
61281;3;6;
59438;5;6;
58614;7;6;
59216;3;11;
57983;5;11;
57245;7;11;
58225;3;16;
57029;5;16;
56598;7;16;
57454;3;21;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
57454;3;22;
56452;5;21;
55969;7;21;
61564;3;6;
60522;5;6;
60233;7;6;
60491;3;11;
59445;5;11;
59254;7;11;
59501;3;16;
58886;5;16;
58680;7;16;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
59330;3;19;
58886;5;17;
58552;7;18;
62109;3;6;
61637;5;6;
61512;7;6;
61228;3;11;
60841;5;11;
60793;7;11;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
60864;3;16;
60560;5;15;
60480;7;15;
62539;3;6;
62254;5;6;
62178;7;6;
62007;3;11;
61553;5;11;
61556;7;11;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
61843;3;14;
61438;5;13;
61441;7;13;
62852;3;6;
62715;5;6;
62715;7;6;
62279;3;11;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
62279;3;12;
62248;5;11;
62248;7;11;
63099;3;6;
62946;5;6;
62946;7;6;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
62861;3;9;
62722;5;9;
62722;7;9;
63209;3;6;
63209;5;6;
63209;7;6;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63209;3;7;
63209;5;7;
63209;7;7;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63361;3;6;
63361;5;6;
63361;7;6;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63633;3;5;
63633;5;5;
63633;7;5;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
63706;5;4;
63706;7;4;
63706;3;4;
61805;3;6;
60871;5;6;
60871;7;6;
59730;3;11;
58036;5;11;
58036;7;11;
57769;3;16;
54938;5;16;
54938;7;16;
55906;3;21;
61471;3;6;
59603;5;6;
58153;7;6;
59185;3;11;
55667;5;11;
53025;7;11;
57243;3;16;
52028;5;16;
47217;7;16;
55099;3;21;
48113;5;21;
41774;7;21;
51604;3;31;
39333;5;31;
29463;7;31;
47607;3;41;
30048;5;41;
16047;7;41;
43727;3;51;
61471;3;6;
59603;5;6;
58153;7;6;
59185;3;11;
55667;5;11;
53025;7;11;
57243;3;16;
61805;3;6;
60871;5;6;
60871;7;6;
59730;3;11;
58036;5;11;
58036;7;11;
57769;3;16;
54938;5;16;
54938;7;16;
55906;3;21;
51979;5;21;
51979;7;21;
52653;3;31;
47496;5;31;
47365;7;31;
49090;3;41;
43099;5;41;
42735;7;41;
45989;3;51;
39920;5;51;
39834;7;51;
42747;3;66;
39034;5;57;
39016;7;57;
42747;3;66;
39034;5;57;
39016;7;57;
42747;3;66;
39034;5;57;
39016;7;57;
42747;3;66;
39034;5;57;
39016;7;57;
42747;3;66;
39034;5;57;
39016;7;57;
42747;3;66;
39034;5;57;
39016;7;57;
42747;3;66;
39034;5;57;
39016;7;57;
61805;3;6;
60871;5;6;
60871;7;6;
59818;3;11;
58125;5;11;
58125;7;11;
58026;3;16;
55078;5;16;
55078;7;16;
55934;3;21;
52638;5;21;
52638;7;21;
53005;3;31;
48064;5;31;
48064;7;31;
50235;3;41;
44611;5;41;
44611;7;41;
47120;3;51;
42797;5;51;
42814;7;51;
45825;3;58;
42612;5;53;
42645;7;53;
45825;3;58;
42612;5;53;
42645;7;53;
45825;3;58;
42612;5;53;
42645;7;53;
45825;3;58;
42612;5;53;
42645;7;53;
45825;3;58;
42612;5;53;
42645;7;53;
45825;3;58;
