Overall,Random Time,Predict Time
126040, 65494, 51114
126018, 65002, 51352
126048, 65402, 51261
126044, 65388, 51263
126082, 65607, 51147
126018, 65232, 51304
126060, 65396, 51337
126074, 65562, 51207
126050, 66244, 50329
126062, 66589, 50207
126055, 65764, 51017
126043, 64910, 51782
126028, 64689, 52028
126038, 65499, 51048
126104, 66771, 50125
126072, 66878, 49825
126055, 64794, 51877
126023, 64238, 51936
126056, 65837, 50917
126057, 66819, 49869
126045, 64871, 51694
