model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
lgbm_base,breastcancer,8,8,8,0.0,0.9626373626373628,0.0,0.956140350877193,234,0.9296703296703296
cegb,kr-vs-kp,2,2,8,0.125,0.9389671361502347,0.0,0.9484375,20,0.93896771037182
cegb,kr-vs-kp,16,16,8,0.0078125,0.9679186228482004,0.0,0.971875,566,0.959313845401174
lgbm_quant,breastcancer,8,8,8,0.0,0.9626373626373628,0.0,0.956140350877193,234,0.9296703296703296
cegb,kr-vs-kp,256,6,1,0.125,0.9045383411580594,0.0,0.903125,18,0.8591357326320939
cegb,kr-vs-kp,1,1,4,0.125,0.9389671361502347,0.0,0.9484375,11,0.93896771037182
cegb,kr-vs-kp,32,13,8,0.03125,0.961658841940532,0.0,0.9625,299,0.9565741193737768
ccp,kr-vs-kp,8,8,2,0.03125,1.091177214937496,0.0,0.903125,26,0.8756306568003914
cegb,kr-vs-kp,4,4,1,0.03125,0.7852112676056338,0.0,0.746875,12,0.7957872125733855
cegb,breastcancer,1,1,4,0.125,0.6175824175824176,0.0,0.6666666666666666,7,0.6175824175824176
cegb,kr-vs-kp,64,64,1,0.0078125,0.9366197183098592,0.0,0.9453125,192,0.9366201382093934
ccp,kr-vs-kp,32,32,2,0.5,1.383461917825569,0.0,0.5046875,32,0.5266060726516634
cegb,kr-vs-kp,512,3,2,0.125,0.9045383411580594,0.0,0.903125,15,0.8830104880136986
cegb,breastcancer,1024,25,8,0.03125,0.9802197802197802,0.0,0.9649122807017544,171,0.9362637362637364
cegb,breastcancer,512,13,8,0.125,0.9472527472527472,0.0,0.9473684210526316,47,0.923076923076923
cegb,breastcancer,512,2,1,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,kr-vs-kp,16,1,1,0.5,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,128,33,1,0.03125,0.9604395604395604,0.0,0.9649122807017544,99,0.934065934065934
ccp,kr-vs-kp,1,1,4,0.125,1.3834619178255694,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,32,3,4,0.125,0.9389671361502347,0.0,0.9484375,33,0.93896771037182
lgbm_base,breastcancer,32,32,1,0.0,0.9626373626373628,0.0,0.956140350877193,96,0.932967032967033
