no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
5.0,5.0,3.0,4.0,27.0,26.0,879.0,3520.0,0.9109375,0.0,32.0
5.0,5.0,5.0,6.0,43.0,43.0,1599.0,6240.0,0.93125,0.0,32.0
25.0,25.0,3.0,7.0,172.0,172.0,5616.0,24320.0,0.93125,0.0,32.0
25.0,25.0,5.0,8.0,270.0,285.0,9172.0,42400.0,0.93125,0.0,32.0
50.0,50.0,3.0,8.0,367.0,366.0,12044.0,52160.0,0.9453125,0.0,32.0
50.0,50.0,5.0,8.0,718.0,735.0,23934.0,111200.0,0.9453125,0.0,32.0
100.0,100.0,3.0,8.0,759.0,757.0,24906.0,108320.0,0.9453125,0.0,32.0
100.0,100.0,5.0,10.0,1633.0,1649.0,54101.0,251040.0,0.953125,0.0,32.0
1000.0,1000.0,3.0,10.0,6216.0,6212.0,204076.0,865920.0,0.953125,0.0,32.0
1000.0,1000.0,5.0,10.0,10532.0,10548.0,346964.0,1559680.0,0.953125,0.0,32.0
100.0,100.0,3.0,8.0,759.0,757.0,24906.0,108320.0,0.93125,0.0,64.0
1000.0,1000.0,3.0,8.0,7554.0,7554.0,248267.0,1080640.0,0.9375,0.0,64.0
100.0,100.0,3.0,6.0,702.0,703.0,23068.0,99680.0,0.93125,0.0,128.0
1000.0,1000.0,3.0,6.0,5787.0,5808.0,190017.0,801280.0,0.93125,0.0,128.0
100.0,100.0,3.0,5.0,615.0,618.0,20212.0,86080.0,0.93125,0.0,256.0
1000.0,1000.0,3.0,5.0,4003.0,4997.0,132123.0,671520.0,0.93125,0.0,256.0
100.0,100.0,3.0,4.0,483.0,489.0,15871.0,65440.0,0.9109375,0.0,512.0
1000.0,1000.0,3.0,4.0,874.0,3437.0,30439.0,421920.0,0.9109375,0.0,512.0
1.0,5.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,1024.0
1.0,5.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,1024.0
1.0,25.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,1024.0
1.0,25.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,1024.0
1.0,50.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,1024.0
1.0,50.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,1024.0
1.0,100.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,1024.0
1.0,100.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,1024.0
1.0,1000.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,1024.0
1.0,1000.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,1024.0
1.0,100.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,2048.0
1.0,1000.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,2048.0
1.0,100.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,4096.0
1.0,1000.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,4096.0
1.0,100.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,8192.0
1.0,1000.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,8192.0
1.0,100.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,16384.0
