model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
cegb,kr-vs-kp,1,1,4,0.125,0.940923317683881,0.0,0.940625,11,0.9409246575342464
cegb,kr-vs-kp,32,13,8,0.03125,0.9640062597809076,0.0,0.9578125,287,0.9593146098336596
cegb,kr-vs-kp,512,3,2,0.125,0.9033646322378716,0.0,0.9078125,15,0.9033657962328766
ccp,kr-vs-kp,8,8,2,0.03125,1.1643631528829768,0.0,0.9078125,20,0.9033657962328766
cegb,kr-vs-kp,64,1,4,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
lgbm_base,breastcancer,8,8,8,0.0,0.967032967032967,0.0,0.9649122807017544,236,0.9164835164835164
lgbm_quant,breastcancer,8,8,8,0.0,0.967032967032967,0.0,0.9649122807017544,236,0.9164835164835164
cegb,kr-vs-kp,512,13,4,0.03125,0.940923317683881,0.0,0.940625,133,0.9409246575342464
cegb,kr-vs-kp,8,8,4,0.0078125,0.940923317683881,0.0,0.940625,110,0.9409246575342464
cegb,breastcancer,1,1,4,0.125,0.6197802197802198,0.0,0.6578947368421053,7,0.6197802197802198
cegb,breastcancer,256,36,4,0.0078125,0.9934065934065934,0.0,0.9824561403508772,398,0.9516483516483516
cegb,kr-vs-kp,512,1,1,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
ccp,kr-vs-kp,32,32,2,0.5,1.3832927686112306,0.0,0.5015625,32,0.5273919092465753
cegb,breastcancer,128,32,1,0.03125,0.967032967032967,0.0,0.9473684210526316,96,0.9362637362637362
ccp,kr-vs-kp,2,2,1,0.0078125,1.3147570830729032,0.0,0.5015625,6,0.5430474865459882
cegb,breastcancer,128,2,8,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
cegb,kr-vs-kp,64,64,1,0.0078125,0.937793427230047,0.0,0.940625,192,0.93818646037182
ccp,kr-vs-kp,1,1,2,0.5,1.3832927686112306,0.0,0.5015625,1,0.5273919092465753
ccp,kr-vs-kp,1,1,4,0.125,1.3832927686112306,0.0,0.5015625,1,0.5273919092465753
cegb,breastcancer,64,64,1,0.0078125,0.978021978021978,0.0,0.9649122807017544,192,0.9516483516483516
cegb,kr-vs-kp,16,16,8,0.0078125,0.9683098591549296,0.0,0.9625,512,0.964010518590998
cegb,breastcancer,1024,25,8,0.03125,0.9824175824175824,0.0,0.9736842105263158,167,0.9472527472527472
cegb,breastcancer,1024,2,2,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
cegb,breastcancer,1024,13,4,0.125,0.9516483516483516,0.0,0.9298245614035088,51,0.9142857142857144
cegb,breastcancer,256,14,1,0.125,0.9406593406593406,0.0,0.9298245614035088,42,0.9208791208791208
ccp,kr-vs-kp,16,16,4,0.03125,1.0613148072155107,0.0,0.9078125,34,0.9033657962328766
cegb,breastcancer,512,2,1,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
ccp,kr-vs-kp,1,1,8,0.03125,1.2539754111657964,0.0,0.9078125,7,0.9033657962328766
cegb,breastcancer,8,8,1,0.125,0.9428571428571428,0.0,0.9298245614035088,24,0.912087912087912
cegb,kr-vs-kp,128,1,8,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,breastcancer,1024,13,8,0.125,0.9516483516483516,0.0,0.9298245614035088,51,0.9142857142857144
cegb,breastcancer,512,13,8,0.125,0.9516483516483516,0.0,0.9298245614035088,51,0.9142857142857144
cegb,kr-vs-kp,32,3,4,0.125,0.940923317683881,0.0,0.940625,29,0.9409246575342464
cegb,breastcancer,1024,36,8,0.0078125,0.9934065934065934,0.0,0.9736842105263158,404,0.9516483516483516
cegb,kr-vs-kp,512,3,8,0.125,0.940923317683881,0.0,0.940625,29,0.9409246575342464
ccp,kr-vs-kp,8,8,1,0.125,1.3832927686112306,0.0,0.5015625,8,0.5273919092465753
lgbm_base,breastcancer,32,32,1,0.0,0.9648351648351648,0.0,0.9473684210526316,96,0.9384615384615383
lgbm_quant,breastcancer,32,32,1,0.0,0.9648351648351648,0.0,0.9473684210526316,96,0.9384615384615383
cegb,kr-vs-kp,1024,1,8,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
