no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
50,7,28,474,390,107175,39600,0,0,0.956140351,0.000976562,0.00195312,1000
55,3,26,405,331,19598,32592,0,0,0.9649122807017544,0.000976562,0.00195312,5000
50,5,28,474,392,38636,39824,0,0,0.956140351,0.000976562,0.00195312,5000
50,7,28,474,390,107175,39600,0,0,0.956140351,0.000976562,0.00195312,5000
55,3,26,405,331,19598,32592,0,0,0.9649122807017544,0.000976562,0.00195312,10000
50,5,28,474,392,38636,39824,0,0,0.956140351,0.000976562,0.00195312,10000
50,7,28,474,390,107175,39600,0,0,0.956140351,0.000976562,0.00195312,10000
55,3,26,405,331,19598,32592,0,0,0.9649122807017544,0.000976562,0.00195312,100000
50,5,28,474,392,38636,39824,0,0,0.956140351,0.000976562,0.00195312,100000
50,7,28,474,390,107175,39600,0,0,0.956140351,0.000976562,0.00195312,100000
4,3,11,53,37,2223,3744,0,0,0.9385964912280702,0.000976562,0.00390625,5
4,5,16,74,52,4117,5424,0,0,0.9385964912280702,0.000976562,0.00390625,5
4,7,16,74,52,8917,5424,0,0,0.9385964912280702,0.000976562,0.00390625,5
9,3,15,99,71,4242,7152,0,0,0.956140351,0.000976562,0.00390625,10
9,5,18,131,100,8201,10400,0,0,0.956140351,0.000976562,0.00390625,10
9,7,18,131,100,19721,10400,0,0,0.956140351,0.000976562,0.00390625,10
14,3,16,142,104,6098,10448,0,0,0.956140351,0.000976562,0.00390625,15
14,5,24,192,141,12703,14592,0,0,0.956140351,0.000976562,0.00390625,15
14,7,24,192,141,31423,14592,0,0,0.956140351,0.000976562,0.00390625,15
19,3,19,181,136,8152,13632,0,0,0.956140351,0.000976562,0.00390625,20
19,5,24,241,183,16383,18896,0,0,0.956140351,0.000976562,0.00390625,20
19,7,24,241,183,41343,18896,0,0,0.956140351,0.000976562,0.00390625,20
29,3,21,244,191,11291,18992,0,0,0.956140351,0.000976562,0.00390625,30
29,5,27,324,254,23297,26048,0,0,0.956140351,0.000976562,0.00390625,30
29,7,27,327,256,60851,26272,0,0,0.956140351,0.000976562,0.00390625,30
39,3,22,308,246,14415,24352,0,0,0.956140351,0.000976562,0.00390625,40
39,5,27,376,303,30427,30736,0,0,0.956140351,0.000976562,0.00390625,40
39,7,27,378,304,84277,30848,0,0,0.956140351,0.000976562,0.00390625,40
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,50
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,50
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,50
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,100
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,100
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,100
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,200
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,200
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,200
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,500
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,500
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,500
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,1000
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,1000
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,1000
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,5000
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,5000
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,5000
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,10000
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,10000
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,10000
48,3,23,348,280,17011,27440,0,0,0.956140351,0.000976562,0.00390625,100000
45,5,27,394,319,33704,32048,0,0,0.956140351,0.000976562,0.00390625,100000
44,7,27,394,319,93746,32128,0,0,0.956140351,0.000976562,0.00390625,100000
4,3,11,53,37,2223,3744,0,0,0.9385964912280702,0.000976562,0.0078125,5
4,5,16,69,47,3950,4864,0,0,0.9385964912280702,0.000976562,0.0078125,5
4,7,16,69,47,8750,4864,0,0,0.9385964912280702,0.000976562,0.0078125,5
9,3,15,97,70,4177,7040,0,0,0.956140351,0.000976562,0.0078125,10
9,5,17,117,87,7724,8944,0,0,0.956140351,0.000976562,0.0078125,10
9,7,17,117,87,19244,8944,0,0,0.956140351,0.000976562,0.0078125,10
14,3,16,139,101,6001,10112,0,0,0.956140351,0.000976562,0.0078125,15
14,5,22,170,125,11428,12800,0,0,0.956140351,0.000976562,0.0078125,15
14,7,22,170,125,28708,12800,0,0,0.956140351,0.000976562,0.0078125,15
19,3,17,177,132,8016,13184,0,0,0.956140351,0.000976562,0.0078125,20
19,5,23,212,163,15348,16656,0,0,0.956140351,0.000976562,0.0078125,20
19,7,23,212,163,40308,16656,0,0,0.956140351,0.000976562,0.0078125,20
29,3,19,236,184,11027,18208,0,0,0.9649122807017544,0.000976562,0.0078125,30
29,5,25,283,225,21933,22800,0,0,0.956140351,0.000976562,0.0078125,30
29,7,25,283,225,59373,22800,0,0,0.956140351,0.000976562,0.0078125,30
39,3,20,278,221,13401,21552,0,0,0.9649122807017544,0.000976562,0.0078125,40
39,5,25,315,255,27108,25360,0,0,0.956140351,0.000976562,0.0078125,40
39,7,25,315,255,77028,25360,0,0,0.956140351,0.000976562,0.0078125,40
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,50
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,50
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,50
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,100
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,100
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,100
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,200
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,200
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,200
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,500
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,500
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,500
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,1000
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,1000
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,1000
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,5000
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,5000
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,5000
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,10000
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,10000
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,10000
42,3,20,289,229,14079,22208,0,0,0.9649122807017544,0.000976562,0.0078125,100000
41,5,25,321,259,28127,25648,0,0,0.956140351,0.000976562,0.0078125,100000
41,7,25,321,259,80543,25648,0,0,0.956140351,0.000976562,0.0078125,100000
4,3,11,53,37,2223,3744,0,0,0.9385964912280702,0.000976562,0.015625,5
4,5,14,65,45,3829,4640,0,0,0.9385964912280702,0.000976562,0.015625,5
4,7,14,65,45,8629,4640,0,0,0.9385964912280702,0.000976562,0.015625,5
9,3,15,97,70,4177,7040,0,0,0.956140351,0.000976562,0.015625,10
9,5,16,111,80,7277,8160,0,0,0.956140351,0.000976562,0.015625,10
9,7,16,111,80,17837,8160,0,0,0.956140351,0.000976562,0.015625,10
14,3,16,138,100,5968,10000,0,0,0.956140351,0.000976562,0.015625,15
14,5,19,150,111,10779,11232,0,0,0.956140351,0.000976562,0.015625,15
14,7,19,150,111,28059,11232,0,0,0.956140351,0.000976562,0.015625,15
19,3,18,170,126,7647,12512,0,0,0.956140351,0.000976562,0.015625,20
19,5,20,185,141,14516,14192,0,0,0.956140351,0.000976562,0.015625,20
19,7,20,185,141,39476,14192,0,0,0.956140351,0.000976562,0.015625,20
29,3,20,220,170,10467,16640,0,0,0.956140351,0.000976562,0.015625,30
29,5,20,229,181,20156,17872,0,0,0.9649122807017544,0.000976562,0.015625,30
29,7,20,229,181,57596,17872,0,0,0.9649122807017544,0.000976562,0.015625,30
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,40
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,40
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,40
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,50
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,50
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,50
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,100
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,100
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,100
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,200
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,200
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,200
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,500
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,500
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,500
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,1000
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,1000
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,1000
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,5000
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,5000
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,5000
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,10000
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,10000
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,10000
38,3,20,243,190,12144,18160,0,0,0.956140351,0.000976562,0.015625,100000
38,5,20,251,201,24579,19392,0,0,0.9649122807017544,0.000976562,0.015625,100000
38,7,20,251,201,73251,19392,0,0,0.9649122807017544,0.000976562,0.015625,100000
4,3,11,53,37,2223,3744,0,0,0.9385964912280702,0.000976562,0.03125,5
4,5,13,60,42,3654,4304,0,0,0.9385964912280702,0.000976562,0.03125,5
4,7,13,60,42,8454,4304,0,0,0.9385964912280702,0.000976562,0.03125,5
9,3,14,91,65,3968,6480,0,0,0.956140351,0.000976562,0.03125,10
9,5,13,98,72,6816,7264,0,0,0.956140351,0.000976562,0.03125,10
9,7,13,98,72,17376,7264,0,0,0.956140351,0.000976562,0.03125,10
14,3,16,124,89,5518,8768,0,0,0.956140351,0.000976562,0.03125,15
14,5,16,132,97,9715,9664,0,0,0.956140351,0.000976562,0.03125,15
14,7,16,132,97,25555,9664,0,0,0.956140351,0.000976562,0.03125,15
19,3,17,145,108,6788,10496,0,0,0.956140351,0.000976562,0.03125,20
19,5,17,162,120,13103,11840,0,0,0.956140351,0.000976562,0.03125,20
19,7,17,162,120,36143,11840,0,0,0.956140351,0.000976562,0.03125,20
29,3,18,182,142,9180,13504,0,0,0.956140351,0.000976562,0.03125,30
29,5,17,193,149,18921,14288,0,0,0.956140351,0.000976562,0.03125,30
29,7,17,193,149,56361,14288,0,0,0.956140351,0.000976562,0.03125,30
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,40
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,40
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,40
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,50
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,50
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,50
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,100
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,100
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,100
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,200
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,200
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,200
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,500
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,500
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,500
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,1000
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,1000
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,1000
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,5000
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,5000
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,5000
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,10000
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,10000
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,10000
33,3,18,192,151,9903,14192,0,0,0.956140351,0.000976562,0.03125,100000
32,5,17,200,155,20385,14720,0,0,0.956140351,0.000976562,0.03125,100000
32,7,17,200,155,61569,14720,0,0,0.956140351,0.000976562,0.03125,100000
4,3,10,48,33,2048,3296,0,0,0.9473684210526316,0.000976562,0.0625,5
4,5,10,54,36,3454,3632,0,0,0.9473684210526316,0.000976562,0.0625,5
4,7,10,54,36,8254,3632,0,0,0.9473684210526316,0.000976562,0.0625,5
9,3,11,82,58,3561,5696,0,0,0.956140351,0.000976562,0.0625,10
9,5,11,87,63,6124,6256,0,0,0.956140351,0.000976562,0.0625,10
9,7,11,87,63,15724,6256,0,0,0.956140351,0.000976562,0.0625,10
14,3,13,110,78,5018,7536,0,0,0.956140351,0.000976562,0.0625,15
14,5,11,113,83,9054,8096,0,0,0.956140351,0.000976562,0.0625,15
14,7,11,113,83,24894,8096,0,0,0.956140351,0.000976562,0.0625,15
19,3,13,131,96,6135,9152,0,0,0.956140351,0.000976562,0.0625,20
19,5,11,132,98,11435,9376,0,0,0.956140351,0.000976562,0.0625,20
19,7,11,132,98,32555,9376,0,0,0.956140351,0.000976562,0.0625,20
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,30
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,30
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,30
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,40
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,40
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,40
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,50
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,50
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,50
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,100
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,100
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,100
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,200
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,200
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,200
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,500
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,500
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,500
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,1000
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,1000
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,1000
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,5000
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,5000
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,5000
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,10000
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,10000
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,10000
28,3,13,152,115,7592,10560,0,0,0.956140351,0.000976562,0.0625,100000
29,5,12,157,120,15751,11040,0,0,0.956140351,0.000976562,0.0625,100000
29,7,12,157,120,47431,11040,0,0,0.956140351,0.000976562,0.0625,100000
4,3,9,46,32,1932,3184,0,0,0.9473684210526316,0.000976562,0.125,5
4,5,9,47,31,3051,3072,0,0,0.9473684210526316,0.000976562,0.125,5
4,7,9,47,31,7371,3072,0,0,0.9473684210526316,0.000976562,0.125,5
9,3,9,72,51,3185,4912,0,0,0.956140351,0.000976562,0.125,10
9,5,10,74,51,5679,4912,0,0,0.956140351,0.000976562,0.125,10
9,7,10,74,51,15279,4912,0,0,0.956140351,0.000976562,0.125,10
14,3,11,92,66,4385,6192,0,0,0.956140351,0.000976562,0.125,15
14,5,10,92,65,8338,6080,0,0,0.956140351,0.000976562,0.125,15
14,7,10,92,65,24178,6080,0,0,0.956140351,0.000976562,0.125,15
19,3,11,103,77,5170,7024,0,0,0.956140351,0.000976562,0.125,20
19,5,10,105,76,10505,6912,0,0,0.956140351,0.000976562,0.125,20
19,7,10,105,76,31625,6912,0,0,0.956140351,0.000976562,0.125,20
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,30
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,30
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,30
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,40
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,40
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,40
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,50
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,50
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,50
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,100
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,100
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,100
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,200
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,200
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,200
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,500
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,500
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,500
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,1000
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,1000
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,1000
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,5000
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,5000
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,5000
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,10000
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,10000
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,10000
26,3,11,119,91,6282,8032,0,0,0.956140351,0.000976562,0.125,100000
26,5,10,121,90,13470,7920,0,0,0.956140351,0.000976562,0.125,100000
26,7,10,121,90,41982,7920,0,0,0.956140351,0.000976562,0.125,100000
4,3,9,40,27,1733,2624,0,0,0.9473684210526316,0.000976562,0.25,5
4,5,9,43,28,2913,2736,0,0,0.9473684210526316,0.000976562,0.25,5
4,7,9,43,28,7233,2736,0,0,0.9473684210526316,0.000976562,0.25,5
