no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
19.0,5.0,9.0,634.0,382.0,30584.0,41184.0,0.0,0.18822,0.4879970563355741,0.000976562,0.00195312
19.0,7.0,9.0,767.0,458.0,60364.0,49696.0,0.0,0.186763,0.4958938234894227,0.000976562,0.00195312
29.0,3.0,9.0,323.0,234.0,13802.0,23808.0,0.0,0.0,0.44881077179554907,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
29.0,7.0,9.0,817.0,495.0,78718.0,53040.0,0.0,0.182912,0.5164674170181036,0.000976562,0.00195312
39.0,3.0,9.0,397.0,297.0,17639.0,30064.0,0.0,0.0,0.4786140965912613,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
44.0,3.0,9.0,420.0,317.0,18936.0,31904.0,0.0,0.0,0.48768606140553616,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
44.0,3.0,9.0,420.0,317.0,18936.0,31904.0,0.0,0.0,0.48768606140553616,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
41.0,3.0,9.0,461.0,293.0,20286.0,29456.0,0.0,0.1909,0.47331301367783685,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
44.0,3.0,9.0,420.0,317.0,18936.0,31904.0,0.0,0.0,0.48768606140553616,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
41.0,3.0,9.0,461.0,293.0,20286.0,29456.0,0.0,0.1909,0.47331301367783685,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
41.0,3.0,9.0,461.0,293.0,20286.0,29456.0,0.0,0.1909,0.47331301367783685,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
41.0,3.0,9.0,461.0,293.0,20286.0,29456.0,0.0,0.1909,0.47331301367783685,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
41.0,3.0,9.0,461.0,293.0,20286.0,29456.0,0.0,0.1909,0.47331301367783685,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
4.0,3.0,8.0,66.0,40.0,2540.0,4080.0,0.0,0.0,0.22080938638430736,0.000976562,0.00390625
4.0,5.0,9.0,256.0,144.0,10785.0,15728.0,0.0,0.222783,0.28269277494545864,0.000976562,0.00390625
4.0,7.0,9.0,385.0,214.0,21162.0,23568.0,0.0,0.220385,0.2980484164598576,0.000976562,0.00390625
9.0,3.0,9.0,122.0,80.0,4934.0,8160.0,0.0,0.0,0.3144049992194432,0.000976562,0.00390625
9.0,5.0,9.0,377.0,221.0,17041.0,23952.0,0.0,0.205088,0.39211506405270236,0.000976562,0.00390625
9.0,7.0,9.0,468.0,265.0,33020.0,28880.0,0.0,0.204807,0.39377784458781606,0.000976562,0.00390625
14.0,3.0,9.0,176.0,120.0,7172.0,12240.0,0.0,0.0,0.3668462753083477,0.000976562,0.00390625
14.0,5.0,9.0,436.0,261.0,21485.0,28032.0,0.0,0.197362,0.437052543300535,0.000976562,0.00390625
14.0,7.0,9.0,510.0,294.0,42806.0,31728.0,0.0,0.198161,0.4324833521772644,0.000976562,0.00390625
19.0,3.0,9.0,224.0,157.0,9449.0,15984.0,0.0,0.0,0.39942072276064955,0.000976562,0.00390625
19.0,5.0,9.0,479.0,290.0,25043.0,30880.0,0.0,0.192504,0.46442087697528045,0.000976562,0.00390625
19.0,7.0,9.0,546.0,320.0,52370.0,34240.0,0.0,0.1934,0.4594241570051,0.000976562,0.00390625
29.0,3.0,9.0,304.0,219.0,13102.0,22128.0,0.0,0.0,0.44647176166532077,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
35.0,3.0,9.0,337.0,246.0,14826.0,24672.0,0.0,0.0,0.4606404334031513,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
35.0,3.0,9.0,337.0,246.0,14826.0,24672.0,0.0,0.0,0.4606404334031513,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
35.0,3.0,9.0,337.0,246.0,14826.0,24672.0,0.0,0.0,0.4606404334031513,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
34.0,3.0,9.0,374.0,237.0,16135.0,23744.0,0.0,0.192529,0.46428604300840426,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
35.0,3.0,9.0,337.0,246.0,14826.0,24672.0,0.0,0.0,0.4606404334031513,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
34.0,3.0,9.0,374.0,237.0,16135.0,23744.0,0.0,0.192529,0.46428604300840426,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
34.0,3.0,9.0,374.0,237.0,16135.0,23744.0,0.0,0.192529,0.46428604300840426,0.000976562,0.00390625
25.0,5.0,9.0,512.0,314.0,28709.0,33088.0,0.0,0.189542,0.4807776291332564,0.000976562,0.00390625
25.0,7.0,9.0,588.0,348.0,63837.0,36896.0,0.0,0.188893,0.48432513058374016,0.000976562,0.00390625
34.0,3.0,9.0,374.0,237.0,16135.0,23744.0,0.0,0.192529,0.46428604300840426,0.000976562,0.00390625
