no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
30,7,9,819,497,80447,53184,0,0.182729,0.5174332794167922,0.000976562,0.00195312,200
44,3,9,420,317,18936,31904,0,0.0,0.4876860614055361,0.000976562,0.00195312,500
28,5,9,710,432,36920,46064,0,0.181592,0.523417767,0.000976562,0.00195312,500
30,7,9,819,497,80447,53184,0,0.182729,0.5174332794167922,0.000976562,0.00195312,500
41,3,9,461,293,20286,29456,0,0.1909,0.4733130136778368,0.000976562,0.00195312,1000
28,5,9,710,432,36920,46064,0,0.181592,0.523417767,0.000976562,0.00195312,1000
30,7,9,819,497,80447,53184,0,0.182729,0.5174332794167922,0.000976562,0.00195312,1000
41,3,9,461,293,20286,29456,0,0.1909,0.4733130136778368,0.000976562,0.00195312,5000
28,5,9,710,432,36920,46064,0,0.181592,0.523417767,0.000976562,0.00195312,5000
30,7,9,819,497,80447,53184,0,0.182729,0.5174332794167922,0.000976562,0.00195312,5000
41,3,9,461,293,20286,29456,0,0.1909,0.4733130136778368,0.000976562,0.00195312,10000
28,5,9,710,432,36920,46064,0,0.181592,0.523417767,0.000976562,0.00195312,10000
30,7,9,819,497,80447,53184,0,0.182729,0.5174332794167922,0.000976562,0.00195312,10000
41,3,9,461,293,20286,29456,0,0.1909,0.4733130136778368,0.000976562,0.00195312,100000
28,5,9,710,432,36920,46064,0,0.181592,0.523417767,0.000976562,0.00195312,100000
30,7,9,819,497,80447,53184,0,0.182729,0.5174332794167922,0.000976562,0.00195312,100000
4,3,8,66,40,2540,4080,0,0.0,0.2208093863843073,0.000976562,0.00390625,5
4,5,9,256,144,10785,15728,0,0.222783,0.2826927749454586,0.000976562,0.00390625,5
4,7,9,385,214,21162,23568,0,0.220385,0.2980484164598576,0.000976562,0.00390625,5
9,3,9,122,80,4934,8160,0,0.0,0.3144049992194432,0.000976562,0.00390625,10
9,5,9,377,221,17041,23952,0,0.205088,0.3921150640527023,0.000976562,0.00390625,10
9,7,9,468,265,33020,28880,0,0.204807,0.393777844587816,0.000976562,0.00390625,10
14,3,9,176,120,7172,12240,0,0.0,0.3668462753083477,0.000976562,0.00390625,15
14,5,9,436,261,21485,28032,0,0.197362,0.437052543,0.000976562,0.00390625,15
14,7,9,510,294,42806,31728,0,0.198161,0.4324833521772644,0.000976562,0.00390625,15
19,3,9,224,157,9449,15984,0,0.0,0.3994207227606495,0.000976562,0.00390625,20
19,5,9,479,290,25043,30880,0,0.192504,0.4644208769752804,0.000976562,0.00390625,20
19,7,9,546,320,52370,34240,0,0.1934,0.459424157,0.000976562,0.00390625,20
29,3,9,304,219,13102,22128,0,0.0,0.4464717616653207,0.000976562,0.00390625,30
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,30
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,30
35,3,9,337,246,14826,24672,0,0.0,0.4606404334031513,0.000976562,0.00390625,40
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,40
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,40
35,3,9,337,246,14826,24672,0,0.0,0.4606404334031513,0.000976562,0.00390625,50
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,50
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,50
35,3,9,337,246,14826,24672,0,0.0,0.4606404334031513,0.000976562,0.00390625,100
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,100
25,7,9,588,348,63837,36896,0,0.188893,0.4843251305837401,0.000976562,0.00390625,100
34,3,9,374,237,16135,23744,0,0.192529,0.4642860430084042,0.000976562,0.00390625,200
25,5,9,512,314,28709,33088,0,0.189542,0.4807776291332564,0.000976562,0.00390625,200
