model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes
cegb,kr-vs-kp,4,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,2,2,8,0.0625,0.9382608695652174,0.96484375,0.940625,36
cegb,kr-vs-kp,8,8,1,0.0625,0.9047826086956522,0.93359375,0.890625,24
cegb,kr-vs-kp,64,1,4,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,16,16,4,0.015625,0.9382608695652174,0.96484375,0.940625,182
cegb,kr-vs-kp,64,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,32,1,2,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,32,20,8,0.015625,0.9743478260869565,0.9765625,0.9671875,570
cegb,kr-vs-kp,128,8,8,0.0625,0.957391304347826,0.97265625,0.95625,110
cegb,kr-vs-kp,1,1,4,0.0625,0.9382608695652174,0.96484375,0.940625,11
cegb,kr-vs-kp,16,1,1,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,4,4,1,0.015625,0.7582608695652174,0.7734375,0.734375,12
cegb,kr-vs-kp,256,1,8,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,16,10,2,0.0625,0.9047826086956522,0.93359375,0.890625,56
cegb,kr-vs-kp,2,2,2,0.0,0.9047826086956522,0.93359375,0.890625,10
lgbm_base,breastcancer,1,1,1,0.0,0.6210268948655256,0.6304347826086957,0.6491228070175439,3
cegb,kr-vs-kp,1,1,1,0.0,0.5213043478260869,0.5546875,0.5125,3
cegb,kr-vs-kp,32,32,1,0.0,0.9047826086956522,0.93359375,0.890625,96
cegb,kr-vs-kp,2,1,4,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,256,8,8,0.0625,0.957391304347826,0.97265625,0.95625,110
cegb,kr-vs-kp,128,3,8,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,1,1,8,0.015625,0.9608695652173913,0.97265625,0.953125,45
cegb,kr-vs-kp,1,1,2,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,8,8,2,0.015625,0.9047826086956522,0.93359375,0.890625,44
cegb,kr-vs-kp,32,8,4,0.0625,0.9382608695652174,0.96484375,0.940625,82
cegb,kr-vs-kp,4,4,4,0.0,0.9382608695652174,0.96484375,0.940625,64
cegb,kr-vs-kp,8,8,8,0.0,0.9656521739130435,0.96875,0.9609375,468
lgbm_quant,breastcancer,1,1,1,0.0,0.6210268948655256,0.6304347826086957,0.6491228070175439,3
cegb,kr-vs-kp,128,1,8,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,64,64,2,0.0,0.9426086956521739,0.96484375,0.9453125,442
cegb,kr-vs-kp,128,128,1,0.0078125,0.9360869565217391,0.95703125,0.9390625,384
cegb,kr-vs-kp,256,1,2,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,128,1,4,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,128,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,64,14,8,0.03125,0.961304347826087,0.97265625,0.959375,306
cegb,kr-vs-kp,128,14,8,0.03125,0.961304347826087,0.97265625,0.959375,306
cegb,kr-vs-kp,128,20,8,0.015625,0.9743478260869565,0.9765625,0.9671875,570
cegb,kr-vs-kp,256,26,8,0.0078125,0.9765217391304348,0.98046875,0.9671875,852
cegb,kr-vs-kp,256,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,256,3,8,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,256,3,4,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,256,20,8,0.015625,0.9743478260869565,0.9765625,0.9671875,570
cegb,kr-vs-kp,128,26,8,0.0078125,0.9765217391304348,0.98046875,0.9671875,852
cegb,kr-vs-kp,256,14,8,0.03125,0.961304347826087,0.97265625,0.959375,306
cegb,kr-vs-kp,512,512,1,0.0,0.9478260869565217,0.98046875,0.946875,1536
lgbm_base,kr-vs-kp,256,256,8,0.0,0.9952173913043478,0.984375,0.9828125,14878
cegb,kr-vs-kp,512,1,2,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,breastcancer,1024,31,8,0.015625,0.9877750611246944,1.0,0.9385964912280702,241
cegb,breastcancer,1024,36,8,0.0078125,0.9975550122249389,1.0,0.9298245614035088,386
cegb,breastcancer,1024,25,8,0.03125,0.9828850855745721,1.0,0.9298245614035088,155
cegb,breastcancer,1024,13,8,0.125,0.9437652811735942,0.9565217391304348,0.9473684210526315,43
cegb,breastcancer,1024,19,8,0.0625,0.9755501222493888,1.0,0.9298245614035088,89
cegb,kr-vs-kp,256,256,8,0.0,0.9952173913043478,0.98828125,0.98125,15468
lgbm_quant,kr-vs-kp,256,256,8,0.0,0.9952173913043478,0.984375,0.9828125,14878
cegb,kr-vs-kp,16,16,2,0.03125,0.9047826086956522,0.93359375,0.890625,90
cegb,kr-vs-kp,16,7,1,0.125,0.9047826086956522,0.93359375,0.890625,21
cegb,kr-vs-kp,32,4,2,0.125,0.9047826086956522,0.93359375,0.890625,22
cegb,kr-vs-kp,4,3,8,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,8,1,8,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,2,1,2,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,2,2,4,0.125,0.9382608695652174,0.96484375,0.940625,20
cegb,kr-vs-kp,128,1,4,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,32,26,8,0.0078125,0.9765217391304348,0.98046875,0.9671875,852
cegb,kr-vs-kp,256,1,2,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,16,16,4,0.0078125,0.9382608695652174,0.96484375,0.940625,188
cegb,kr-vs-kp,2,2,8,0.03125,0.9608695652173913,0.97265625,0.9625,66
cegb,kr-vs-kp,256,256,1,0.0,0.941304347826087,0.96484375,0.946875,768
cegb,kr-vs-kp,64,1,2,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,512,8,4,0.0625,0.9382608695652174,0.96484375,0.940625,82
cegb,kr-vs-kp,512,14,8,0.03125,0.961304347826087,0.97265625,0.959375,306
cegb,kr-vs-kp,1,1,1,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,64,3,8,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,32,1,1,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,8,8,2,0.0078125,0.9047826086956522,0.93359375,0.890625,44
cegb,kr-vs-kp,64,20,8,0.015625,0.9743478260869565,0.9765625,0.9671875,570
cegb,kr-vs-kp,4,1,4,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,1,1,8,0.0078125,0.9608695652173913,0.97265625,0.953125,45
cegb,kr-vs-kp,1,1,4,0.03125,0.9382608695652174,0.96484375,0.940625,13
cegb,kr-vs-kp,64,3,4,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,32,14,4,0.03125,0.9382608695652174,0.96484375,0.940625,148
cegb,kr-vs-kp,8,8,1,0.03125,0.9047826086956522,0.93359375,0.890625,24
cegb,kr-vs-kp,256,8,4,0.0625,0.9382608695652174,0.96484375,0.940625,82
cegb,kr-vs-kp,4,4,1,0.0078125,0.7582608695652174,0.7734375,0.734375,12
cegb,kr-vs-kp,128,128,2,0.0,0.9539130434782609,0.9765625,0.9578125,890
cegb,kr-vs-kp,1,1,2,0.125,0.7791304347826087,0.80078125,0.7625,5
cegb,kr-vs-kp,512,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,512,26,8,0.0078125,0.9765217391304348,0.98046875,0.9671875,852
cegb,kr-vs-kp,512,4,2,0.125,0.9047826086956522,0.93359375,0.890625,22
cegb,kr-vs-kp,512,1,8,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,512,3,8,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,512,8,8,0.0625,0.957391304347826,0.97265625,0.95625,110
cegb,kr-vs-kp,512,20,8,0.015625,0.9743478260869565,0.9765625,0.9671875,570
cegb,kr-vs-kp,1024,8,8,0.0625,0.957391304347826,0.97265625,0.95625,110
cegb,kr-vs-kp,1024,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,1024,1,4,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,1024,14,8,0.03125,0.961304347826087,0.97265625,0.959375,306
cegb,kr-vs-kp,1024,26,4,0.0078125,0.9426086956521739,0.96484375,0.9453125,302
cegb,kr-vs-kp,1024,3,8,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,512,1,1,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,1024,20,8,0.015625,0.9743478260869565,0.9765625,0.9671875,570
cegb,kr-vs-kp,1024,1,2,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,1024,8,4,0.0625,0.9382608695652174,0.96484375,0.940625,82
cegb,kr-vs-kp,1024,1024,1,0.0,0.9582608695652174,0.9765625,0.95,3072
cegb,kr-vs-kp,1024,1,8,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,512,512,8,0.0,0.9952173913043478,0.98828125,0.98125,30620
cegb,kr-vs-kp,1024,1024,8,0.0,0.9952173913043478,0.98828125,0.98125,56174
cegb,kr-vs-kp,16,16,2,0.015625,0.9047826086956522,0.93359375,0.890625,90
cegb,kr-vs-kp,4,4,8,0.0625,0.9382608695652174,0.96484375,0.940625,58
cegb,kr-vs-kp,16,16,1,0.0625,0.9047826086956522,0.93359375,0.890625,48
cegb,kr-vs-kp,64,64,1,0.0,0.9360869565217391,0.95703125,0.9390625,192
cegb,kr-vs-kp,256,4,2,0.125,0.9047826086956522,0.93359375,0.890625,22
cegb,kr-vs-kp,64,8,8,0.0625,0.957391304347826,0.97265625,0.95625,110
cegb,kr-vs-kp,128,3,4,0.125,0.9382608695652174,0.96484375,0.940625,29
cegb,kr-vs-kp,1,1,1,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,32,10,2,0.0625,0.9047826086956522,0.93359375,0.890625,56
cegb,kr-vs-kp,512,14,4,0.03125,0.9382608695652174,0.96484375,0.940625,148
cegb,kr-vs-kp,8,1,8,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,2,2,4,0.0625,0.9382608695652174,0.96484375,0.940625,20
cegb,kr-vs-kp,8,8,4,0.0,0.9382608695652174,0.96484375,0.940625,138
cegb,kr-vs-kp,2,2,8,0.015625,0.9608695652173913,0.97265625,0.9625,66
cegb,kr-vs-kp,32,1,1,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,256,1,1,0.5,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,4,1,4,0.25,0.5213043478260869,0.5546875,0.5125,1
cegb,kr-vs-kp,16,16,8,0.0,0.9743478260869565,0.97265625,0.965625,956
