model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_base,breastcancer,8,8,8,0.0,0.9736263736263736,0.9035087719298246,216
lgbm_quant,breastcancer,8,8,8,0.0,0.9736263736263736,0.9035087719298246,216
lgbm_base,breastcancer,1,1,1,0.0,0.6263736263736264,0.631578947368421,3
lgbm_quant,breastcancer,1,1,1,0.0,0.6263736263736264,0.631578947368421,3
lgbm_base,breastcancer,32,32,1,0.0,0.9736263736263736,0.9298245614035088,96
lgbm_quant,breastcancer,32,32,1,0.0,0.9736263736263736,0.9298245614035088,96
lgbm_base,breastcancer,64,64,2,0.0,0.9978021978021978,0.956140350877193,448
lgbm_quant,breastcancer,64,64,2,0.0,0.9978021978021978,0.956140350877193,448
lgbm_base,kin8nm,2,2,2,0.0,0.06249043310550876,0.06185041583974018,14
lgbm_quant,kin8nm,2,2,2,0.0,0.0625141298829601,0.06187369781447242,14
lgbm_base,mushroom,8,8,8,0.0,0.9932297276504077,0.9938461538461538,444
lgbm_quant,mushroom,8,8,8,0.0,0.9932297276504077,0.9938461538461538,444
lgbm_base,kin8nm,4,4,4,0.0,0.05352686127477812,0.05381086130577513,124
lgbm_base,mushroom,4,4,4,0.0,0.974457608862902,0.9766153846153847,104
lgbm_quant,kin8nm,4,4,4,0.0,0.05351860542871645,0.05380240659906313,124
lgbm_base,mushroom,2,2,2,0.0,0.9099861517156486,0.9144615384615384,14
lgbm_quant,mushroom,4,4,4,0.0,0.974457608862902,0.9766153846153847,104
lgbm_quant,mushroom,2,2,2,0.0,0.9099861517156486,0.9144615384615384,14
lgbm_base,california_housing,2,2,2,0.0,1.1303896744626412,1.1120305918300426,14
lgbm_quant,california_housing,2,2,2,0.0,1.130509481977278,1.1121131245658809,14
lgbm_base,mushroom,1024,1024,1,0.0,0.9995383905216187,0.9969230769230769,3072
lgbm_base,kin8nm,8,8,8,0.0,0.03914311842925161,0.041868032688729656,488
lgbm_quant,kin8nm,8,8,8,0.0,0.039143337270645034,0.041869466310083134,488
lgbm_base,mushroom,64,64,2,0.0,0.9986151715648561,0.9956923076923077,446
lgbm_quant,mushroom,64,64,2,0.0,0.9986151715648561,0.9956923076923077,446
lgbm_base,kin8nm,32,32,1,0.0,0.0471037549145804,0.0469945426646895,96
lgbm_quant,kin8nm,32,32,1,0.0,0.047114522583653805,0.047000465056759554,96
lgbm_base,mushroom,32,32,1,0.0,0.9615325434682259,0.9593846153846154,96
lgbm_quant,mushroom,32,32,1,0.0,0.9615325434682259,0.9593846153846154,96
lgbm_base,california_housing,1,1,1,0.0,1.2571914647574123,1.237422852167543,3
lgbm_quant,california_housing,1,1,1,0.0,1.256904968132225,1.237117587262942,3
lgbm_base,california_housing,32,32,1,0.0,0.6551279079281752,0.6496963251181734,96
lgbm_quant,california_housing,32,32,1,0.0,0.655163783308851,0.649512949618973,96
lgbm_quant,mushroom,1024,1024,1,0.0,0.9995383905216187,0.9969230769230769,3072
lgbm_base,kin8nm,1,1,1,0.0,0.06658372588648219,0.06571994905758295,3
