model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,memory_usage,max_memory,randomseed
cegb,mushroom,16.0,16.0,8.0,0.0078125,1e+34,1.0,0.9981538461538462,4080.0,58880.0,8192000,1
cegb,mushroom,16.0,16.0,8.0,0.0078125,1e+34,1.0,0.9981538461538462,4080.0,58880.0,16384000,1
rf,mushroom,2.0,2.0,2.0,0.0,1e+34,0.953846153846154,0.940923076923077,6.0,1792.0,2000,1
rf,mushroom,1.0,1.0,4.0,0.0,1e+34,0.9815384615384616,0.974153846153846,15.0,2688.0,4000,1
rf,mushroom,1.0,1.0,8.0,0.0,1e+34,0.9892307692307692,0.9870769230769232,255.0,4992.0,8000,1
rf,mushroom,2.0,2.0,8.0,0.0,1e+34,0.9938461538461538,0.992,510.0,13568.0,16000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,32000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,64000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,128000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,256000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,512000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,1024000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,2048000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,4096000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,8192000,1
rf,mushroom,4.0,4.0,8.0,0.0,1e+34,1.0,1.0,1020.0,25344.0,16384000,1
rf_guo,mushroom,512.0,1.0,4.0,0.0,1e+34,0.9892307692307692,0.9864615384615384,15.0,1584.0,2000,1
rf_guo,mushroom,4.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,3600.0,4000,1
