no_trees,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
4.0,6.0,25.0,17.0,1167.0,1504.0,0.0,0.0,0.9298245614035088,0.5,0.5
4.0,6.0,25.0,17.0,5967.0,1504.0,0.0,0.0,0.9298245614035088,0.5,0.5
4.0,6.0,25.0,17.0,2127.0,1504.0,0.0,0.0,0.9298245614035088,0.5,0.5
14.0,6.0,36.0,37.0,11437.0,2944.0,0.0,0.0,0.9473684210526315,0.5,0.5
9.0,6.0,47.0,27.0,2621.0,2224.0,0.0,0.0,0.956140350877193,0.5,0.5
9.0,6.0,36.0,27.0,3757.0,2224.0,0.0,0.0,0.956140350877193,0.5,0.5
14.0,6.0,47.0,37.0,5861.0,2944.0,0.0,0.0,0.9473684210526315,0.5,0.5
9.0,6.0,36.0,27.0,1837.0,2224.0,0.0,0.0,0.956140350877193,0.5,0.5
